,Title,Average Score,Score Count,Developers,Games Developed
0,Valheim,87.99313343606723,165,Iron Gate Studios,1
1,Palworld,70.72620269412138,162,PocketPair,4
2,7 Days to Die,54.10697216625002,141,The Fun Pimps Entertainment LLC,1
2,7 Days to Die,54.10697216625002,141,Iron Galaxy Studios,15
3,Satisfactory,74.77459600398358,110,Coffee Stain Studios,20
4,Project Zomboid,82.13136103484771,106,The Indie Stone,1
5,Phasmophobia,67.05807817202759,105,Kinetic Games,2
6,Lethal Company,75.68037227597047,84,Zeekerss,4
7,VRChat,71.80128774997415,44,VRChat Inc.,1
8,BeamNG.drive,77.17831779679061,44,BeamNG,1
9,Stranded Deep,62.31472127945786,44,Beam Team Games,1
10,Supermarket Simulator,60.64081972611066,42,Nokta Games,1
11,Realm Royale Reforged,69.13286242859982,38,Hi-Rez Studios,9
12,Green Hell,84.93378901747568,38,Creepy Jar,3
13,WorldBox: God Simulator,64.55591786211168,36,Maxim Karpenko,1
14,Ultrakill,85.29712890792595,35,"Arsi ""Hakita"" Patala",1
15,My Summer Car,70.096623595826,34,Amistech Games,1
16,V Rising,84.82082498695354,33,Stunlock Studios,16
17,Dark and Darker,72.08843031971311,29,IRONMACE,1
18,BattleBit Remastered,70.37900501439468,29,OkiGames,1
18,BattleBit Remastered,70.37900501439468,29,MrOkiDoki,1
19,Dyson Sphere Program,80.76003534170542,28,Youthcat Studio,1
20,Sons of the Forest,73.22119719999064,26,Endnight Games Ltd,2
21,Project: Gorgon,76.94138297165841,26,"Elder Game, LLC",1
22,Universe Sandbox,81.69742305725927,26,Giant Army,2
23,Enshrouded,78.50799614430261,23,Keen Games,12
24,NFUT Cards,94.78260869565217,23,Mosaiqo,1
25,Super Animal Royale,64.93824809812908,23,Pixile,7
26,The Isle,85.33971479400523,22,Afterthought Games,4
27,Scum,80.57581155171133,21,Gamepires,3
28,Halls of Torment,92.86473056290106,20,Chasing Carrots,5
29,Scrap Mechanic,61.0747967827588,20,Axolot Games,1
30,Godus,67.97408455851384,20,22Cans,4
31,Paint the Town Red,69.5224030992534,19,South East Games,3
32,Men of War: Assault Squad 2,77.48181570503874,19,Digitalmindsoft,10
33,Farlight 84,24.71957769042393,18,Miracle Games,3
34,Dune: Spice Wars,71.25413235094109,16,Shiro Games,9
35,Friday Night Funkin',77.23533125043632,16,Funkin' Crew,1
36,Heartbound,87.79783393501805,16,Pirate Software,3
37,Stonehearth,74.34340896936035,16,Radiant Entertainment,3
38,Ruthnar Online,90.36528669470889,15,NaN Games,1
39,Crab Champions,62.22104126393624,15,Noisestorm,1
40,Vintage Story,85.84657336754606,15,Tyron Madlener,1
41,Software Inc.,79.30190344351979,15,Coredumping,1
42,Startup Company,66.0951021929778,15,Hovgaard Games,3
43,A Twisted Path To Renown,93.30718954248367,14,Game Labs,1
44,Deep Rock Galactic: Survivor,77.30653437646535,14,Funday Games,3
45,Stream Racer,84.76923076923077,14,LUVI GAMES,2
46,Everspace 2,73.33999603357731,14,Rockfish Games,5
47,Rustler,65.5853557741938,14,Jutsu Games,12
47,Rustler,65.5853557741938,14,Jutsu Games,12
48,Aimlabs,70.29421912212247,14,Statespace,2
49,Mashinky,89.48685336772036,14,Jan Zelený,1
50,Shark Dating Simulator XL,57.69230769230769,14,Conan McPhee,1
51,Stoneshard,76.92554119475231,14,Ink Stains Games,3
52,Caves of Qud,82.4420545025512,14,Freehold Games,2
53,Surviving the Aftermath,57.49151311423476,13,Iceflake Studios,6
54,Skater XL,71.959770803452,13,Easy Day Studios,2
55,Beast Battle Simulator,96.41172265904217,13,DOG HOGGLER,3
56,Colony Survival,80.18728587470066,13,Pipliz,1
57,Exanima,79.92067603935372,13,BARE METTLE ENTERTAINMENT,2
58,Core Keeper,60.7937433820678,12,Pugstorm,2
59,The Vagrant,85.76387143650447,12,O.T.K Games,3
60,Earthfall,62.00689680303385,12,Holospark,4
61,SpaceEngine,89.92809987401883,12,Vladimir Romanyuk,1
62,Gloam,92.5925925925926,11,CORDYLUS,1
63,We Went Back,59.37043486935174,11,Dead Thread Games Team,1
64,Eco,91.56719640004408,11,Strange Loop Games,2
65,AdVenture Communist,59.89794158321573,11,Hyper Hippo Entertainment,8
66,Another Brick in the Mall,66.85778470329305,11,The Quadsphere,2
67,Pavlov VR,80.6610844584933,11,Vankrupt Games,1
68,Vainglory,69.93801827775835,11,Super Evil Megacorp,4
69,Suck Up!,81.21951219512195,10,Proxima Enterprises Inc,1
70,Death Must Die,79.99721216906516,10,Realm Archive,1
71,Supremacy: The Metaverse Game,87.84260515603799,10,Ninja Syndicate,1
72,Coral Island,75.64660493827161,10,Stairway Games,1
73,Peglin,86.15768958222841,10,Red Nexus Games Inc.,3
74,Havocado,77.0,10,Webble Games,1
75,Blade & Sorcery,80.05454161613338,10,WarpFrog,1
77,Ravenfield,70.95404021222224,10,SteelRaven7,1
79,Serious Sam Classics: Revolution,87.61706494111856,10,Croteam,29
79,Serious Sam Classics: Revolution,87.61706494111856,10,Alligator Pit,1
80,Who's Your Daddy,43.32214964721245,10,Joe Williams,1
81,No Rest for the Wicked,79.96556164465606,9,Moon Studios,7
82,Slime Rancher 2,65.9702479338843,9,Monomi Park,4
83,Seen,54.26400260464785,9,Seen Games,1
84,Russian Fishing 4,68.56625763972927,9,Russian Fishing,1
85,Rico,53.13678278816184,9,Ground Shatter Ltd.,5
86,Savage Lands,59.61447578996194,9,Signal Studios,6
87,The Universim,65.72087908908081,9,Crytivo Games,1
88,Hades II,85.0754897653551,8,Supergiant Games,6
89,Big Time,87.05882352941175,8,Big Time Studios,1
90,Achilles: Legends Untold,57.53421887637653,8,Dark Point Games,1
91,Second Extinction,72.61604711117297,8,Systemic Reaction,24
92,Craftopia,71.79325842696629,8,PocketPair,4
93,Dinkum,83.38946077023459,8,James Bendon,1
94,Foundation,63.68350171809344,8,Polymorph Games,1
95,Nova Drift,39.54285714285714,8,Chimeric,1
96,Academia: School Simulator,69.81034505672702,8,Squeaky Wheel Studio,1
97,Staxel,54.56949609190651,8,Plukit,1
97,Staxel,54.56949609190651,8,Plukit,1
99,ARK: Survival of the Fittest,14.66815512119835,8,Studio Wildcard,13
99,ARK: Survival of the Fittest,14.66815512119835,8,Instinct Games,2
