,Title,Average Score,Score Count,Game Modes
0,Valheim,87.99375260840064,166,Single player
0,Valheim,87.99375260840064,166,Multiplayer
0,Valheim,87.99375260840064,166,Co-operative
1,Palworld,70.71082919086297,163,Single player
1,Palworld,70.71082919086297,163,Multiplayer
1,Palworld,70.71082919086297,163,Co-operative
1,Palworld,70.71082919086297,163,Massively Multiplayer Online (MMO)
2,7 Days to Die,54.10697216625002,141,Single player
2,7 Days to Die,54.10697216625002,141,Multiplayer
2,7 Days to Die,54.10697216625002,141,Co-operative
2,7 Days to Die,54.10697216625002,141,Split screen
3,Satisfactory,74.77459600398358,110,Single player
3,Satisfactory,74.77459600398358,110,Multiplayer
3,Satisfactory,74.77459600398358,110,Co-operative
4,Project Zomboid,82.13136103484771,106,Single player
4,Project Zomboid,82.13136103484771,106,Multiplayer
4,Project Zomboid,82.13136103484771,106,Co-operative
4,Project Zomboid,82.13136103484771,106,Split screen
5,Phasmophobia,67.05807817202759,105,Single player
5,Phasmophobia,67.05807817202759,105,Multiplayer
5,Phasmophobia,67.05807817202759,105,Co-operative
6,Lethal Company,75.68037227597047,84,Single player
6,Lethal Company,75.68037227597047,84,Multiplayer
6,Lethal Company,75.68037227597047,84,Co-operative
7,VRChat,71.80128774997415,44,Single player
7,VRChat,71.80128774997415,44,Multiplayer
7,VRChat,71.80128774997415,44,Co-operative
7,VRChat,71.80128774997415,44,Massively Multiplayer Online (MMO)
8,BeamNG.drive,77.17831779679061,44,Single player
8,BeamNG.drive,77.17831779679061,44,Multiplayer
9,Stranded Deep,62.31472127945786,44,Single player
9,Stranded Deep,62.31472127945786,44,Multiplayer
9,Stranded Deep,62.31472127945786,44,Co-operative
10,Supermarket Simulator,60.64081972611066,42,Single player
11,Realm Royale Reforged,69.13286242859982,38,Single player
11,Realm Royale Reforged,69.13286242859982,38,Multiplayer
11,Realm Royale Reforged,69.13286242859982,38,Battle Royale
12,Green Hell,84.93378901747568,38,Single player
12,Green Hell,84.93378901747568,38,Multiplayer
12,Green Hell,84.93378901747568,38,Co-operative
13,WorldBox: God Simulator,64.55591786211168,36,Single player
14,Ultrakill,85.29712890792595,35,Single player
15,V Rising,84.48749165362021,34,Single player
15,V Rising,84.48749165362021,34,Multiplayer
15,V Rising,84.48749165362021,34,Co-operative
16,My Summer Car,70.096623595826,34,Single player
17,Dark and Darker,72.08843031971311,29,Single player
17,Dark and Darker,72.08843031971311,29,Multiplayer
17,Dark and Darker,72.08843031971311,29,Co-operative
18,BattleBit Remastered,70.37900501439468,29,Single player
18,BattleBit Remastered,70.37900501439468,29,Multiplayer
18,BattleBit Remastered,70.37900501439468,29,Co-operative
18,BattleBit Remastered,70.37900501439468,29,Massively Multiplayer Online (MMO)
19,Dyson Sphere Program,80.76003534170542,28,Single player
20,Sons of the Forest,73.22119719999064,26,Single player
20,Sons of the Forest,73.22119719999064,26,Multiplayer
20,Sons of the Forest,73.22119719999064,26,Co-operative
21,Project: Gorgon,76.94138297165841,26,Multiplayer
21,Project: Gorgon,76.94138297165841,26,Massively Multiplayer Online (MMO)
22,Universe Sandbox,81.69742305725927,26,Single player
23,Enshrouded,78.45473297130495,24,Single player
23,Enshrouded,78.45473297130495,24,Multiplayer
23,Enshrouded,78.45473297130495,24,Co-operative
24,NFUT Cards,94.78260869565217,23,Single player
24,NFUT Cards,94.78260869565217,23,Multiplayer
25,Super Animal Royale,64.93824809812908,23,Single player
25,Super Animal Royale,64.93824809812908,23,Multiplayer
25,Super Animal Royale,64.93824809812908,23,Co-operative
25,Super Animal Royale,64.93824809812908,23,Massively Multiplayer Online (MMO)
25,Super Animal Royale,64.93824809812908,23,Battle Royale
26,The Isle,85.33971479400523,22,Multiplayer
26,The Isle,85.33971479400523,22,Co-operative
26,The Isle,85.33971479400523,22,Massively Multiplayer Online (MMO)
27,Scum,80.57581155171133,21,Single player
27,Scum,80.57581155171133,21,Multiplayer
27,Scum,80.57581155171133,21,Co-operative
27,Scum,80.57581155171133,21,Massively Multiplayer Online (MMO)
28,Halls of Torment,92.86473056290106,20,Single player
29,Scrap Mechanic,61.0747967827588,20,Single player
29,Scrap Mechanic,61.0747967827588,20,Multiplayer
29,Scrap Mechanic,61.0747967827588,20,Co-operative
30,Godus,67.97408455851384,20,Single player
30,Godus,67.97408455851384,20,Multiplayer
31,Paint the Town Red,69.5224030992534,19,Single player
31,Paint the Town Red,69.5224030992534,19,Multiplayer
31,Paint the Town Red,69.5224030992534,19,Co-operative
32,Men of War: Assault Squad 2,77.48181570503874,19,Single player
32,Men of War: Assault Squad 2,77.48181570503874,19,Multiplayer
32,Men of War: Assault Squad 2,77.48181570503874,19,Co-operative
33,Farlight 84,24.71957769042393,18,Multiplayer
33,Farlight 84,24.71957769042393,18,Battle Royale
34,Dune: Spice Wars,71.25413235094109,16,Single player
34,Dune: Spice Wars,71.25413235094109,16,Multiplayer
34,Dune: Spice Wars,71.25413235094109,16,Co-operative
35,Friday Night Funkin',77.23533125043632,16,Single player
36,Heartbound,87.79783393501805,16,Single player
37,Stonehearth,74.34340896936035,16,Single player
37,Stonehearth,74.34340896936035,16,Multiplayer
37,Stonehearth,74.34340896936035,16,Co-operative
38,Ruthnar Online,90.36528669470889,15,Multiplayer
38,Ruthnar Online,90.36528669470889,15,Massively Multiplayer Online (MMO)
38,Ruthnar Online,90.36528669470889,15,Battle Royale
39,Crab Champions,62.22104126393624,15,Single player
39,Crab Champions,62.22104126393624,15,Multiplayer
39,Crab Champions,62.22104126393624,15,Co-operative
39,Crab Champions,62.22104126393624,15,Battle Royale
40,Vintage Story,85.84657336754606,15,Single player
40,Vintage Story,85.84657336754606,15,Multiplayer
41,Software Inc.,79.30190344351979,15,Single player
41,Software Inc.,79.30190344351979,15,Multiplayer
41,Software Inc.,79.30190344351979,15,Co-operative
42,Startup Company,66.0951021929778,15,Single player
43,A Twisted Path To Renown,93.30718954248367,14,Multiplayer
43,A Twisted Path To Renown,93.30718954248367,14,Co-operative
43,A Twisted Path To Renown,93.30718954248367,14,Massively Multiplayer Online (MMO)
44,Deep Rock Galactic: Survivor,77.30653437646535,14,Single player
45,Stream Racer,84.76923076923077,14,Multiplayer
46,Everspace 2,73.33999603357731,14,Single player
47,Rustler,65.5853557741938,14,Single player
47,Rustler,65.5853557741938,14,Multiplayer
48,Aimlabs,70.29421912212247,14,Single player
49,Mashinky,89.48685336772036,14,Single player
50,Shark Dating Simulator XL,57.69230769230769,14,Single player
51,Stoneshard,76.92554119475231,14,Single player
52,Caves of Qud,82.4420545025512,14,Single player
53,Surviving the Aftermath,57.49151311423476,13,Single player
54,Skater XL,71.959770803452,13,Single player
54,Skater XL,71.959770803452,13,Multiplayer
54,Skater XL,71.959770803452,13,Co-operative
55,Beast Battle Simulator,96.41172265904217,13,Single player
56,Colony Survival,80.18728587470066,13,Single player
56,Colony Survival,80.18728587470066,13,Multiplayer
56,Colony Survival,80.18728587470066,13,Co-operative
57,Exanima,79.92067603935372,13,Single player
58,Core Keeper,60.7937433820678,12,Single player
58,Core Keeper,60.7937433820678,12,Multiplayer
58,Core Keeper,60.7937433820678,12,Co-operative
59,Eco,90.83148859315394,12,Single player
59,Eco,90.83148859315394,12,Multiplayer
59,Eco,90.83148859315394,12,Co-operative
60,The Vagrant,85.76387143650447,12,Single player
61,Earthfall,62.00689680303385,12,Single player
61,Earthfall,62.00689680303385,12,Multiplayer
61,Earthfall,62.00689680303385,12,Co-operative
62,SpaceEngine,89.92809987401883,12,Single player
63,Gloam,92.5925925925926,11,Battle Royale
64,BroodStar,89.16666666666666,11,Single player
65,We Went Back,59.37043486935174,11,Single player
66,AdVenture Communist,59.89794158321573,11,Single player
67,Another Brick in the Mall,66.85778470329305,11,Single player
68,Pavlov VR,80.6610844584933,11,Single player
68,Pavlov VR,80.6610844584933,11,Multiplayer
68,Pavlov VR,80.6610844584933,11,Co-operative
69,Vainglory,69.93801827775835,11,Multiplayer
70,Suck Up!,81.21951219512195,10,Single player
71,Death Must Die,79.99721216906516,10,Single player
72,Supremacy: The Metaverse Game,87.84260515603799,10,Multiplayer
72,Supremacy: The Metaverse Game,87.84260515603799,10,Co-operative
72,Supremacy: The Metaverse Game,87.84260515603799,10,Massively Multiplayer Online (MMO)
73,Coral Island,75.64660493827161,10,Single player
74,Peglin,86.15768958222841,10,Single player
75,Havocado,77.0,10,Multiplayer
76,Blade & Sorcery,80.05454161613338,10,Single player
77,"Good Pizza, Great Pizza",64.25620110828709,10,Single player
78,Ravenfield,70.95404021222224,10,Single player
79,Passpartout: The Starving Artist,59.94069549359882,10,Single player
80,Serious Sam Classics: Revolution,87.61706494111856,10,Single player
80,Serious Sam Classics: Revolution,87.61706494111856,10,Multiplayer
80,Serious Sam Classics: Revolution,87.61706494111856,10,Co-operative
81,Who's Your Daddy,43.32214964721245,10,Multiplayer
81,Who's Your Daddy,43.32214964721245,10,Co-operative
82,No Rest for the Wicked,79.96556164465606,9,Single player
83,Slime Rancher 2,65.9702479338843,9,Single player
84,Seen,54.26400260464785,9,Single player
85,Russian Fishing 4,68.56625763972927,9,Single player
85,Russian Fishing 4,68.56625763972927,9,Multiplayer
85,Russian Fishing 4,68.56625763972927,9,Co-operative
85,Russian Fishing 4,68.56625763972927,9,Massively Multiplayer Online (MMO)
86,Rico,53.13678278816184,9,Single player
86,Rico,53.13678278816184,9,Multiplayer
86,Rico,53.13678278816184,9,Co-operative
87,Savage Lands,59.61447578996194,9,Single player
87,Savage Lands,59.61447578996194,9,Multiplayer
87,Savage Lands,59.61447578996194,9,Co-operative
88,The Universim,65.72087908908081,9,Single player
89,Hades II,85.0754897653551,8,Single player
90,Big Time,87.05882352941175,8,Massively Multiplayer Online (MMO)
91,Achilles: Legends Untold,57.53421887637653,8,Single player
91,Achilles: Legends Untold,57.53421887637653,8,Multiplayer
91,Achilles: Legends Untold,57.53421887637653,8,Co-operative
92,Second Extinction,72.61604711117297,8,Multiplayer
92,Second Extinction,72.61604711117297,8,Co-operative
93,Craftopia,71.79325842696629,8,Single player
93,Craftopia,71.79325842696629,8,Multiplayer
93,Craftopia,71.79325842696629,8,Co-operative
94,Dinkum,83.38946077023459,8,Single player
94,Dinkum,83.38946077023459,8,Multiplayer
94,Dinkum,83.38946077023459,8,Co-operative
95,Foundation,63.68350171809344,8,Single player
96,Nova Drift,39.54285714285714,8,Single player
97,Academia: School Simulator,69.81034505672702,8,Single player
98,Staxel,54.56949609190651,8,Single player
98,Staxel,54.56949609190651,8,Multiplayer
98,Staxel,54.56949609190651,8,Co-operative
99,Oriental Empires,53.375,8,Single player
99,Oriental Empires,53.375,8,Multiplayer
99,Oriental Empires,53.375,8,Co-operative
100,ARK: Survival of the Fittest,14.66815512119835,8,Multiplayer
100,ARK: Survival of the Fittest,14.66815512119835,8,Co-operative
100,ARK: Survival of the Fittest,14.66815512119835,8,Massively Multiplayer Online (MMO)
101,Echo of Soul,56.72286707808303,8,Multiplayer
101,Echo of Soul,56.72286707808303,8,Co-operative
101,Echo of Soul,56.72286707808303,8,Massively Multiplayer Online (MMO)
102,Riot: Civil Unrest,50.91514610670846,8,Single player
102,Riot: Civil Unrest,50.91514610670846,8,Multiplayer
102,Riot: Civil Unrest,50.91514610670846,8,Co-operative
103,Overpower,70.17241379310346,8,Single player
103,Overpower,70.17241379310346,8,Multiplayer
103,Overpower,70.17241379310346,8,Co-operative
104,Labyrinth,81.04545454545453,8,Multiplayer
105,Dead Effect 2,54.32579989842559,8,Single player
105,Dead Effect 2,54.32579989842559,8,Multiplayer
105,Dead Effect 2,54.32579989842559,8,Co-operative
106,The Guild 3,59.3083623245374,8,Single player
106,The Guild 3,59.3083623245374,8,Multiplayer
