,Title,Average Score,Score Count,Genres
0,Valheim,87.99375260840064,166,Role-playing (RPG)
0,Valheim,87.99375260840064,166,Adventure
0,Valheim,87.99375260840064,166,Indie
1,Palworld,70.71082919086297,163,Shooter
1,Palworld,70.71082919086297,163,Role-playing (RPG)
1,Palworld,70.71082919086297,163,Hack and slash/Beat 'em up
1,Palworld,70.71082919086297,163,Adventure
1,Palworld,70.71082919086297,163,Indie
2,7 Days to Die,54.10697216625002,141,Shooter
2,7 Days to Die,54.10697216625002,141,Role-playing (RPG)
2,7 Days to Die,54.10697216625002,141,Simulator
2,7 Days to Die,54.10697216625002,141,Strategy
2,7 Days to Die,54.10697216625002,141,Adventure
2,7 Days to Die,54.10697216625002,141,Indie
3,Satisfactory,74.77459600398358,110,Simulator
3,Satisfactory,74.77459600398358,110,Strategy
3,Satisfactory,74.77459600398358,110,Adventure
3,Satisfactory,74.77459600398358,110,Indie
4,Project Zomboid,82.13136103484771,106,Role-playing (RPG)
4,Project Zomboid,82.13136103484771,106,Simulator
4,Project Zomboid,82.13136103484771,106,Indie
5,Phasmophobia,67.05807817202759,105,Puzzle
5,Phasmophobia,67.05807817202759,105,Tactical
5,Phasmophobia,67.05807817202759,105,Indie
6,Lethal Company,75.68037227597047,84,Indie
7,VRChat,71.80128774997415,44,Simulator
7,VRChat,71.80128774997415,44,Adventure
8,BeamNG.drive,77.17831779679061,44,Racing
8,BeamNG.drive,77.17831779679061,44,Simulator
9,Stranded Deep,62.31472127945786,44,Simulator
9,Stranded Deep,62.31472127945786,44,Adventure
9,Stranded Deep,62.31472127945786,44,Indie
10,Supermarket Simulator,60.64081972611066,42,Simulator
10,Supermarket Simulator,60.64081972611066,42,Strategy
10,Supermarket Simulator,60.64081972611066,42,Indie
11,Realm Royale Reforged,69.13286242859982,38,Shooter
11,Realm Royale Reforged,69.13286242859982,38,Adventure
12,Green Hell,84.93378901747568,38,Simulator
12,Green Hell,84.93378901747568,38,Strategy
12,Green Hell,84.93378901747568,38,Adventure
12,Green Hell,84.93378901747568,38,Indie
13,WorldBox: God Simulator,64.55591786211168,36,Role-playing (RPG)
13,WorldBox: God Simulator,64.55591786211168,36,Simulator
13,WorldBox: God Simulator,64.55591786211168,36,Indie
14,Ultrakill,85.29712890792595,35,Shooter
14,Ultrakill,85.29712890792595,35,Platform
14,Ultrakill,85.29712890792595,35,Indie
14,Ultrakill,85.29712890792595,35,Arcade
15,V Rising,84.48749165362021,34,Role-playing (RPG)
15,V Rising,84.48749165362021,34,Adventure
16,My Summer Car,70.096623595826,34,Racing
16,My Summer Car,70.096623595826,34,Simulator
16,My Summer Car,70.096623595826,34,Sport
16,My Summer Car,70.096623595826,34,Indie
17,Dark and Darker,72.08843031971311,29,Shooter
17,Dark and Darker,72.08843031971311,29,Role-playing (RPG)
17,Dark and Darker,72.08843031971311,29,Tactical
17,Dark and Darker,72.08843031971311,29,Adventure
18,BattleBit Remastered,70.37900501439468,29,Shooter
18,BattleBit Remastered,70.37900501439468,29,Simulator
18,BattleBit Remastered,70.37900501439468,29,Tactical
18,BattleBit Remastered,70.37900501439468,29,Indie
19,Dyson Sphere Program,80.76003534170542,28,Simulator
19,Dyson Sphere Program,80.76003534170542,28,Strategy
19,Dyson Sphere Program,80.76003534170542,28,Indie
20,Sons of the Forest,73.22119719999064,26,Simulator
20,Sons of the Forest,73.22119719999064,26,Adventure
20,Sons of the Forest,73.22119719999064,26,Indie
21,Project: Gorgon,76.94138297165841,26,Role-playing (RPG)
21,Project: Gorgon,76.94138297165841,26,Indie
22,Universe Sandbox,81.69742305725927,26,Simulator
22,Universe Sandbox,81.69742305725927,26,Indie
23,Enshrouded,78.45473297130495,24,Role-playing (RPG)
23,Enshrouded,78.45473297130495,24,Adventure
24,NFUT Cards,94.78260869565217,23,Simulator
24,NFUT Cards,94.78260869565217,23,Sport
24,NFUT Cards,94.78260869565217,23,Strategy
24,NFUT Cards,94.78260869565217,23,Card & Board Game
25,Super Animal Royale,64.93824809812908,23,Shooter
25,Super Animal Royale,64.93824809812908,23,Adventure
25,Super Animal Royale,64.93824809812908,23,Indie
25,Super Animal Royale,64.93824809812908,23,Arcade
26,The Isle,85.33971479400523,22,Fighting
26,The Isle,85.33971479400523,22,Shooter
26,The Isle,85.33971479400523,22,Role-playing (RPG)
26,The Isle,85.33971479400523,22,Simulator
26,The Isle,85.33971479400523,22,Strategy
26,The Isle,85.33971479400523,22,Adventure
26,The Isle,85.33971479400523,22,Indie
27,Scum,80.57581155171133,21,Adventure
27,Scum,80.57581155171133,21,Indie
28,Halls of Torment,92.86473056290106,20,Role-playing (RPG)
28,Halls of Torment,92.86473056290106,20,Indie
29,Scrap Mechanic,61.0747967827588,20,Simulator
29,Scrap Mechanic,61.0747967827588,20,Adventure
29,Scrap Mechanic,61.0747967827588,20,Indie
30,Godus,67.97408455851384,20,Point-and-click
30,Godus,67.97408455851384,20,Real Time Strategy (RTS)
30,Godus,67.97408455851384,20,Simulator
30,Godus,67.97408455851384,20,Strategy
30,Godus,67.97408455851384,20,Indie
31,Paint the Town Red,69.5224030992534,19,Shooter
31,Paint the Town Red,69.5224030992534,19,Role-playing (RPG)
31,Paint the Town Red,69.5224030992534,19,Adventure
31,Paint the Town Red,69.5224030992534,19,Indie
31,Paint the Town Red,69.5224030992534,19,Arcade
32,Men of War: Assault Squad 2,77.48181570503874,19,Real Time Strategy (RTS)
32,Men of War: Assault Squad 2,77.48181570503874,19,Simulator
32,Men of War: Assault Squad 2,77.48181570503874,19,Strategy
32,Men of War: Assault Squad 2,77.48181570503874,19,Tactical
33,Farlight 84,24.71957769042393,18,Shooter
33,Farlight 84,24.71957769042393,18,Role-playing (RPG)
33,Farlight 84,24.71957769042393,18,Adventure
33,Farlight 84,24.71957769042393,18,MOBA
34,Dune: Spice Wars,71.25413235094109,16,Real Time Strategy (RTS)
34,Dune: Spice Wars,71.25413235094109,16,Strategy
34,Dune: Spice Wars,71.25413235094109,16,Tactical
35,Friday Night Funkin',77.23533125043632,16,Music
36,Heartbound,87.79783393501805,16,Puzzle
36,Heartbound,87.79783393501805,16,Role-playing (RPG)
36,Heartbound,87.79783393501805,16,Adventure
36,Heartbound,87.79783393501805,16,Indie
37,Stonehearth,74.34340896936035,16,Real Time Strategy (RTS)
37,Stonehearth,74.34340896936035,16,Simulator
37,Stonehearth,74.34340896936035,16,Strategy
37,Stonehearth,74.34340896936035,16,Indie
38,Ruthnar Online,90.36528669470889,15,Point-and-click
38,Ruthnar Online,90.36528669470889,15,Role-playing (RPG)
38,Ruthnar Online,90.36528669470889,15,Indie
39,Crab Champions,62.22104126393624,15,Fighting
39,Crab Champions,62.22104126393624,15,Shooter
39,Crab Champions,62.22104126393624,15,Racing
39,Crab Champions,62.22104126393624,15,Adventure
39,Crab Champions,62.22104126393624,15,Indie
40,Vintage Story,85.84657336754606,15,Indie
41,Software Inc.,79.30190344351979,15,Simulator
41,Software Inc.,79.30190344351979,15,Strategy
41,Software Inc.,79.30190344351979,15,Indie
42,Startup Company,66.0951021929778,15,Simulator
42,Startup Company,66.0951021929778,15,Strategy
42,Startup Company,66.0951021929778,15,Indie
