,Title,Average Score,Score Count,Dates,Platforms,Regions
0,Valheim,87.99375260840064,166,"Mar 14, 2023",Xbox One,Worldwide
0,Valheim,87.99375260840064,166,"Mar 14, 2023",Xbox Series X|S,Worldwide
0,Valheim,87.99375260840064,166,"Sep 16, 2022",Xbox One,North America
0,Valheim,87.99375260840064,166,"Sep 16, 2022",Xbox Series X|S,North America
0,Valheim,87.99375260840064,166,"Feb 02, 2021",PC (Microsoft Windows),Worldwide
0,Valheim,87.99375260840064,166,TBD,PC (Microsoft Windows),Worldwide
0,Valheim,87.99375260840064,166,"Feb 02, 2021",Linux,Worldwide
0,Valheim,87.99375260840064,166,"Jun 10, 2024",Mac,Worldwide
1,Palworld,70.71082919086297,163,"Jan 19, 2024",PC (Microsoft Windows),Worldwide
1,Palworld,70.71082919086297,163,"Jan 19, 2024",Xbox One,Worldwide
1,Palworld,70.71082919086297,163,"Jan 19, 2024",Xbox Series X|S,Worldwide
1,Palworld,70.71082919086297,163,TBD,Mac,Worldwide
2,7 Days to Die,54.10697216625002,141,"Jun 28, 2016",PlayStation 4,North America
2,7 Days to Die,54.10697216625002,141,"Jul 01, 2016",PlayStation 4,Europe
2,7 Days to Die,54.10697216625002,141,"Jun 28, 2016",Xbox One,North America
2,7 Days to Die,54.10697216625002,141,"Dec 13, 2013",PC (Microsoft Windows),Worldwide
2,7 Days to Die,54.10697216625002,141,"May 04, 2014",Linux,Worldwide
2,7 Days to Die,54.10697216625002,141,"Dec 13, 2013",Mac,Worldwide
3,Satisfactory,74.77459600398358,110,"Mar 19, 2019",PC (Microsoft Windows),Worldwide
3,Satisfactory,74.77459600398358,110,2024,PC (Microsoft Windows),Worldwide
4,Project Zomboid,82.13136103484771,106,"Nov 08, 2013",Mac,Worldwide
4,Project Zomboid,82.13136103484771,106,"Nov 08, 2013",Linux,Worldwide
4,Project Zomboid,82.13136103484771,106,"Nov 08, 2013",PC (Microsoft Windows),Worldwide
4,Project Zomboid,82.13136103484771,106,TBD,PC (Microsoft Windows),Worldwide
5,Phasmophobia,67.05807817202759,105,"Sep 18, 2020",Oculus Rift,Worldwide
5,Phasmophobia,67.05807817202759,105,"Sep 18, 2020",PC (Microsoft Windows),Worldwide
5,Phasmophobia,67.05807817202759,105,"Sep 18, 2020",SteamVR,Worldwide
5,Phasmophobia,67.05807817202759,105,"Sep 18, 2020",Windows Mixed Reality,Worldwide
5,Phasmophobia,67.05807817202759,105,TBD,PlayStation 5,Worldwide
5,Phasmophobia,67.05807817202759,105,TBD,PlayStation VR2,Worldwide
5,Phasmophobia,67.05807817202759,105,TBD,Xbox Series X|S,Worldwide
6,Lethal Company,75.68037227597047,84,"Oct 23, 2023",PC (Microsoft Windows),Worldwide
7,VRChat,71.80128774997415,44,"Feb 01, 2017",PC (Microsoft Windows),Worldwide
7,VRChat,71.80128774997415,44,"May 21, 2019",Oculus Quest,Worldwide
7,VRChat,71.80128774997415,44,"May 21, 2019",Meta Quest 2,Worldwide
7,VRChat,71.80128774997415,44,"Feb 01, 2017",SteamVR,Worldwide
8,BeamNG.drive,77.17831779679061,44,"Apr 05, 2015",PC (Microsoft Windows),Worldwide
9,Stranded Deep,62.31472127945786,44,"Jan 23, 2015",PC (Microsoft Windows),Worldwide
9,Stranded Deep,62.31472127945786,44,"Jan 23, 2015",Mac,Worldwide
9,Stranded Deep,62.31472127945786,44,"Jul 20, 2018",Linux,Worldwide
9,Stranded Deep,62.31472127945786,44,"Apr 21, 2020",PlayStation 4,Worldwide
9,Stranded Deep,62.31472127945786,44,"Apr 21, 2020",Xbox One,Worldwide
9,Stranded Deep,62.31472127945786,44,"Aug 31, 2021",Nintendo Switch,North America
9,Stranded Deep,62.31472127945786,44,"Aug 31, 2021",Nintendo Switch,Europe
