,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
578080,578080,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.","KRAFTON, Inc.",,1385753,983594,0,"50,000,000 .. 100,000,000",0,0,0,0,0,0,0,473904
1623730,1623730,Palworld,Pocketpair,Pocketpair,,282031,18605,0,"50,000,000 .. 100,000,000",0,0,0,0,2999,2999,0,28854
252490,252490,Rust,Facepunch Studios,Facepunch Studios,,928255,137703,0,"20,000,000 .. 50,000,000",0,0,0,0,3999,3999,0,158124
304930,304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,,494369,45902,0,"20,000,000 .. 50,000,000",0,0,0,0,0,0,0,41180
553850,553850,HELLDIVERS 2,Arrowhead Game Studios,PlayStation Publishing LLC,,635670,236771,0,"20,000,000 .. 50,000,000",0,0,0,0,3999,3999,0,53078
291550,291550,Brawlhalla,Blue Mammoth Games,Ubisoft,,300509,64301,0,"20,000,000 .. 50,000,000",0,0,0,0,0,0,0,16213
1086940,1086940,Baldur's Gate 3,Larian Studios,Larian Studios,,596893,19801,0,"20,000,000 .. 50,000,000",0,0,0,0,5999,5999,0,91265
431960,431960,Wallpaper Engine,Wallpaper Engine Team,Wallpaper Engine Team,,768630,15280,0,"20,000,000 .. 50,000,000",0,0,0,0,399,399,0,118915
346110,346110,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA",,575827,115446,0,"20,000,000 .. 50,000,000",0,0,0,0,1499,1499,0,37943
892970,892970,Valheim,Iron Gate AB,Coffee Stain Publishing,,430763,24605,0,"20,000,000 .. 50,000,000",0,0,0,0,1999,1999,0,54855
1091500,1091500,Cyberpunk 2077,CD PROJEKT RED,CD PROJEKT RED,,612963,132701,0,"20,000,000 .. 50,000,000",0,0,0,0,5999,5999,0,35332
242760,242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,,519189,24467,0,"20,000,000 .. 50,000,000",0,0,0,0,1999,1999,0,12218
322330,322330,Don't Starve Together,Klei Entertainment,Klei Entertainment,,435322,19538,0,"20,000,000 .. 50,000,000",0,0,0,0,1499,1499,0,39585
899770,899770,Last Epoch,Eleventh Hour Games,Eleventh Hour Games,,72683,21403,0,"20,000,000 .. 50,000,000",0,0,0,0,3499,3499,0,3819
438100,438100,VRChat,VRChat Inc.,VRChat Inc.,,163238,54822,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,44415
444090,444090,Paladins,Evil Mojo Games,Hi-Rez Studios,,292954,51522,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,4621
